* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 11 2017 16:52:36

* File Generated:     Sep 9 2018 06:23:30

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, BG121

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, ADV_G[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A2, PIO, ADV_G[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A3, PIO, ADV_G[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A4, PIO, ADV_G[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A5, PIO, ADV_G[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A6, PIO, ADV_B[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A7, PIO, ADV_B[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A8, PIO, ADV_B[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A9, PIO, ADV_B[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A10, PIO, ADV_B[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A11, PIO, ADV_B[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B1, PIO, ADV_R[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B2, PIO, ADV_R[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
B3, PIO, ADV_G[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B4, PIO, ADV_G[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B5, PIO, ADV_G[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B6, PIO_GBIN, not used, , , , , , topBank
B7, PIO_GBIN, not used, , , , , , topBank
B8, PIO, ADV_B[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B9, PIO, ADV_B[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
B10, VPP_DIRECT, not used, , , , , , UnknownBank
B11, PIO, not used, , , , , , rightBank
C1, PIO, ADV_R[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
C2, PIO, ADV_R[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
C3, PIO, ADV_R[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
C4, PIO, ADV_R[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
C5, AGND_TOP, not used, , , , , , UnknownBank
C6, AVDD_TOP, not used, , , , , , UnknownBank
C7, PIO, ADV_BLANK_N, Output, , SB_LVCMOS, Pull Up, Simple Output, topBank
C8, PIO, ADV_SYNC_N, Output, , SB_LVCMOS, Pull Up, Simple Output, topBank
C9, PIO, ADV_CLK, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C10, VPP_PUMP, not used, , , , , , UnknownBank
C11, PIO, not used, , , , , , rightBank
D1, PIO, ADV_R[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
D2, PIO, ADV_R[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
D3, PIO, ADV_HSYNC, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
D4, VCC, not used, , , , , , UnknownBank
D5, PIO, DEBUG[5], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
D6, VCCIO_0, not used, , , , , , topBank
D7, PIO, not used, , , , , , topBank
D8, VCC, not used, , , , , , UnknownBank
D9, PIO, not used, , , , , , rightBank
D10, PIO, not used, , , , , , rightBank
D11, PIO, not used, , , , , , rightBank
E1, PIO, ADV_VSYNC, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
E2, PIO, DEBUG[7], Input, , SB_LVCMOS, Pull Up, Simple Input, leftBank
E3, PIO, not used, , , , , , leftBank
E4, VCCIO_3, not used, , , , , , leftBank
E5, GND, not used, , , , , , UnknownBank
E6, GND, not used, , , , , , UnknownBank
E7, GND, not used, , , , , , UnknownBank
E8, PIO, not used, , , , , , rightBank
E9, PIO, not used, , , , , , rightBank
E10, PIO_GBIN, not used, , , , , , rightBank
E11, PIO, not used, , , , , , rightBank
F1, PIO, DEBUG[4], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
F2, PIO, DEBUG[6], Output, , SB_LVCMOS, Pull Up, Simple Output, leftBank
F3, PIO_GBIN, not used, , , , , , leftBank
F4, PIO, not used, , , , , , leftBank
F5, GND, not used, , , , , , UnknownBank
F6, GND, not used, , , , , , UnknownBank
F7, GND, not used, , , , , , UnknownBank
F8, VCCIO_1, not used, , , , , , rightBank
F9, PIO, not used, , , , , , rightBank
F10, PIO, not used, , , , , , rightBank
F11, PIO_GBIN, not used, , , , , , rightBank
G1, PIO_GBIN, not used, , , , , , leftBank
G2, PIO, DEBUG[3], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
G3, PIO, not used, , , , , , leftBank
G4, VCCIO_3, not used, , , , , , leftBank
G5, GND, not used, , , , , , UnknownBank
G6, GND, not used, , , , , , UnknownBank
G7, GND, not used, , , , , , UnknownBank
G8, PIO, not used, , , , , , rightBank
G9, PIO, not used, , , , , , rightBank
G10, PIO, not used, , , , , , rightBank
G11, PIO, not used, , , , , , rightBank
H1, PIO, not used, , , , , , leftBank
H2, PIO, DEBUG[2], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
H3, PIO, not used, , , , , , leftBank
H4, VCC, not used, , , , , , UnknownBank
H5, GND, not used, , , , , , UnknownBank
H6, VCCIO_2, not used, , , , , , bottomBank
H7, PIO, not used, , , , , , bottomBank
H8, VCC, not used, , , , , , UnknownBank
H9, PIO, not used, , , , , , bottomBank
H10, PIO, not used, , , , , , rightBank
H11, PIO, not used, , , , , , rightBank
J1, PIO, DEBUG[1], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
J2, PIO, DEBUG[0], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, leftBank
J3, PIO, not used, , , , , , bottomBank
J4, PIO, not used, , , , , , bottomBank
J5, PIO, TVP_VSYNC, Input, , SB_LVCMOS, Pull Up, Simple Input, bottomBank
J6, AVDD_BOT, not used, , , , , , UnknownBank
J7, PIO, not used, , , , , , bottomBank
J8, PIO, LED, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
J9, SPI_SI, not used, , , , , , bottomBank
J10, PIO, not used, , , , , , rightBank
J11, PIO, not used, , , , , , rightBank
K1, PIO, not used, , , , , , leftBank
K2, PIO, not used, , , , , , leftBank
K3, PIO, not used, , , , , , bottomBank
K4, PIO, not used, , , , , , bottomBank
